service_id,date,exception_type
27707,20260819,2
27708,20260819,2
27714,20260819,2
27716,20260819,2
27717,20260819,2
27720,20260819,2
27723,20260819,2
27726,20260819,2
27727,20260819,2
27732,20260819,2
27735,20260819,2
27736,20260819,2
27737,20260819,2
27738,20260819,2
27745,20260819,2
27746,20260819,2
27747,20260819,2
27748,20260819,2
27693,20260820,2
27695,20260820,2
27697,20260820,2
27699,20260820,2
27701,20260820,2
27704,20260820,2
27707,20260820,2
27708,20260820,2
27714,20260820,2
27716,20260820,2
27717,20260820,2
27720,20260820,2
27723,20260820,2
27726,20260820,2
27727,20260820,2
27732,20260820,2
27735,20260820,2
27736,20260820,2
27737,20260820,2
27738,20260820,2
27745,20260820,2
27746,20260820,2
27747,20260820,2
27748,20260820,2
27690,20260821,2
27693,20260821,2
27695,20260821,2
27697,20260821,2
27699,20260821,2
27701,20260821,2
27704,20260821,2
27707,20260821,2
27708,20260821,2
27714,20260821,2
27716,20260821,2
27717,20260821,2
27720,20260821,2
27723,20260821,2
27726,20260821,2
27727,20260821,2
27732,20260821,2
27735,20260821,2
27736,20260821,2
27737,20260821,2
27738,20260821,2
27745,20260821,2
27746,20260821,2
27747,20260821,2
27748,20260821,2
27787,20260826,2
27781,20260828,2
27782,20260828,2
27800,20260828,2
27801,20260828,2
27805,20260828,2
27823,20260828,2
27824,20260828,2
27825,20260828,2
27826,20260828,2
27760,20260907,2
27766,20260907,2
27768,20260907,2
27770,20260907,2
27772,20260907,2
27774,20260907,2
27777,20260907,2
27781,20260907,2
27782,20260907,2
27787,20260907,2
27790,20260907,2
27791,20260907,2
27793,20260907,2
27796,20260907,2
27800,20260907,2
27801,20260907,2
27805,20260907,2
27812,20260907,2
27813,20260907,2
27814,20260907,2
27815,20260907,2
27816,20260907,2
27823,20260907,2
27824,20260907,2
27825,20260907,2
27826,20260907,2
27768,20261005,2
27770,20261005,2
27772,20261005,2
27774,20261005,2
27777,20261005,2
27781,20261005,2
27782,20261005,2
27787,20261005,2
27790,20261005,2
27791,20261005,2
27793,20261005,2
27796,20261005,2
27800,20261005,2
27801,20261005,2
27805,20261005,2
27812,20261005,2
27813,20261005,2
27814,20261005,2
27815,20261005,2
27816,20261005,2
27823,20261005,2
27824,20261005,2
27825,20261005,2
27826,20261005,2
27768,20261006,2
27770,20261006,2
27772,20261006,2
27775,20261006,2
27777,20261006,2
27782,20261006,2
27784,20261006,2
27787,20261006,2
27790,20261006,2
27791,20261006,2
27793,20261006,2
27797,20261006,2
27802,20261006,2
27803,20261006,2
27806,20261006,2
27812,20261006,2
27813,20261006,2
27814,20261006,2
27815,20261006,2
27816,20261006,2
27823,20261006,2
27824,20261006,2
27825,20261006,2
27826,20261006,2
27768,20261007,2
27770,20261007,2
27772,20261007,2
27775,20261007,2
27778,20261007,2
27782,20261007,2
27785,20261007,2
27787,20261007,2
27790,20261007,2
27791,20261007,2
27794,20261007,2
27796,20261007,2
27800,20261007,2
27801,20261007,2
27806,20261007,2
27814,20261007,2
27815,20261007,2
27816,20261007,2
27817,20261007,2
27818,20261007,2
27823,20261007,2
27824,20261007,2
27825,20261007,2
27826,20261007,2
27768,20261008,2
27770,20261008,2
27772,20261008,2
27775,20261008,2
27777,20261008,2
27782,20261008,2
27783,20261008,2
27787,20261008,2
27790,20261008,2
27791,20261008,2
27793,20261008,2
27797,20261008,2
27802,20261008,2
27803,20261008,2
27806,20261008,2
27812,20261008,2
27813,20261008,2
27814,20261008,2
27815,20261008,2
27816,20261008,2
27823,20261008,2
27824,20261008,2
27825,20261008,2
27826,20261008,2
27768,20261009,2
27770,20261009,2
27772,20261009,2
27775,20261009,2
27777,20261009,2
27781,20261009,2
27782,20261009,2
27787,20261009,2
27790,20261009,2
27791,20261009,2
27793,20261009,2
27796,20261009,2
27800,20261009,2
27801,20261009,2
27805,20261009,2
27812,20261009,2
27813,20261009,2
27814,20261009,2
27815,20261009,2
27816,20261009,2
27823,20261009,2
27824,20261009,2
27825,20261009,2
27826,20261009,2
27766,20261012,2
27768,20261103,2
27770,20261103,2
27772,20261103,2
27775,20261103,2
27777,20261103,2
27782,20261103,2
27784,20261103,2
27787,20261103,2
27790,20261103,2
27791,20261103,2
27793,20261103,2
27797,20261103,2
27802,20261103,2
27803,20261103,2
27806,20261103,2
27812,20261103,2
27813,20261103,2
27814,20261103,2
27815,20261103,2
27816,20261103,2
27823,20261103,2
27824,20261103,2
27825,20261103,2
27826,20261103,2
27760,20261111,2
27766,20261111,2
27768,20261111,2
27770,20261111,2
27772,20261111,2
27775,20261111,2
27778,20261111,2
27782,20261111,2
27785,20261111,2
27787,20261111,2
27790,20261111,2
27791,20261111,2
27794,20261111,2
27796,20261111,2
27800,20261111,2
27801,20261111,2
27806,20261111,2
27814,20261111,2
27815,20261111,2
27816,20261111,2
27817,20261111,2
27818,20261111,2
27823,20261111,2
27824,20261111,2
27825,20261111,2
27826,20261111,2
27760,20261126,2
27766,20261126,2
27768,20261126,2
27770,20261126,2
27772,20261126,2
27775,20261126,2
27777,20261126,2
27782,20261126,2
27783,20261126,2
27787,20261126,2
27790,20261126,2
27791,20261126,2
27793,20261126,2
27797,20261126,2
27802,20261126,2
27803,20261126,2
27806,20261126,2
27812,20261126,2
27813,20261126,2
27814,20261126,2
27815,20261126,2
27816,20261126,2
27823,20261126,2
27824,20261126,2
27825,20261126,2
27826,20261126,2
27768,20261127,2
27770,20261127,2
27772,20261127,2
27775,20261127,2
27777,20261127,2
27781,20261127,2
27782,20261127,2
27787,20261127,2
