shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.31081,-157.854,160015
600275,21.31092,-157.8538,160016
600275,21.31102,-157.85362,160017
600275,21.31113,-157.85341,160018
600275,21.31121,-157.85325,160019
600275,21.31126,-157.85315,160020
600275,21.31132,-157.85303,160021
600275,21.31139,-157.85291,160022
600275,21.31147,-157.8528,160023
600275,21.31151,-157.85275,160024
600275,21.31156,-157.8527,160025
600275,21.31163,-157.85265,160026
600275,21.31172,-157.8526,160027
600275,21.3118,-157.85257,160028
600275,21.31189,-157.85256,160029
600275,21.31198,-157.85256,160030
600275,21.31209,-157.85257,160031
600275,21.31219,-157.8526,160032
600275,21.31228,-157.85264,160033
600275,21.31238,-157.8527,160034
600275,21.31252,-157.8528,160035
600275,21.3128,-157.85302,160036
600275,21.31288,-157.85308,160037
600275,21.31308,-157.85325,160038
600275,21.31331,-157.85345,160039
600275,21.31355,-157.85365,160040
600275,21.31418,-157.85429,160041
600275,21.31439,-157.85446,160042
600275,21.31449,-157.85455,160043
600275,21.3146,-157.85464,160044
600275,21.31468,-157.85471,160045
600275,21.31532,-157.85523,160046
600275,21.3154,-157.8553,160047
600275,21.31629,-157.85601,160048
600275,21.31633,-157.85604,160049
600275,21.31636,-157.85607,160050
600275,21.31654,-157.85622,160051
600275,21.31712,-157.85668,160052
600275,21.31823,-157.85757,160053
600275,21.31834,-157.85766,160054
600275,21.31871,-157.85797,160055
600275,21.31879,-157.85804,160056
600275,21.31885,-157.85809,160057
600275,21.32038,-157.8593,160058
600275,21.32087,-157.8597,160059
600275,21.32139,-157.86013,160060
600275,21.32147,-157.86019,160061
600275,21.32156,-157.86026,160062
600275,21.32206,-157.86065,160063
600275,21.32211,-157.86069,160064
600275,21.32216,-157.86073,160065
600275,21.32263,-157.86112,160066
600275,21.32288,-157.86135,160067
600275,21.32302,-157.86151,160068
600275,21.32318,-157.86172,160069
600275,21.3233,-157.86191,160070
600275,21.3234,-157.86207,160071
600275,21.3235,-157.86227,160072
600275,21.32361,-157.86251,160073
600275,21.32371,-157.86281,160074
600275,21.3238,-157.86319,160075
600275,21.32386,-157.86359,160076
600275,21.32395,-157.86415,160077
600275,21.32401,-157.86446,160078
600275,21.32408,-157.86472,160079
600275,21.32418,-157.86501,160080
600275,21.32427,-157.86522,160081
600275,21.32436,-157.8654,160082
600275,21.32456,-157.8657,160083
600275,21.32474,-157.86594,160084
600275,21.325,-157.8662,160085
600275,21.32524,-157.8664,160086
600275,21.32554,-157.86663,160087
600275,21.32598,-157.86695,160088
600275,21.32655,-157.86736,160089
600275,21.32667,-157.86745,160090
600275,21.32736,-157.86794,160091
600275,21.32786,-157.86828,160092
600275,21.3288,-157.86891,160093
600275,21.32922,-157.86919,160094
600275,21.33009,-157.8698,160095
600275,21.33035,-157.87,160096
600275,21.33061,-157.87021,160097
600275,21.33075,-157.87034,160098
600275,21.33101,-157.87058,160099
600275,21.33139,-157.87096,160100
600275,21.33281,-157.87248,160101
600275,21.33292,-157.87251,160102
600275,21.332928,-157.872513,160103
600275,21.33299,-157.87254,160104
600275,21.3331,-157.87262,160105
600275,21.33323,-157.87271,160106
600275,21.33332,-157.87277,160107
600275,21.33342,-157.87279,160108
600275,21.3335,-157.87279,160109
600275,21.33358,-157.87277,160110
600275,21.33365,-157.87274,160111
600275,21.33371,-157.87269,160112
600275,21.33375,-157.87264,160113
600275,21.33382,-157.87252,160114
600275,21.33388,-157.87238,160115
600275,21.33395,-157.87218,160116
600275,21.33404,-157.87195,160117
600275,21.33411,-157.8718,160118
600275,21.33424,-157.87146,160119
600275,21.33488,-157.87073,160120
600275,21.33502,-157.8706,160121
600275,21.33525,-157.8704,160122
600275,21.33581,-157.86997,160123
600275,21.33593,-157.86987,160124
600275,21.33623,-157.86963,160125
600275,21.336868,-157.869157,160126
600275,21.336868,-157.869157,170001
600275,21.33758,-157.86863,170002
600275,21.33793,-157.86842,170003
600275,21.33817,-157.86828,170004
600275,21.33852,-157.86812,170005
600275,21.33882,-157.86801,170006
600275,21.33911,-157.86792,170007
600275,21.33944,-157.86785,170008
600275,21.33977,-157.86782,170009
600275,21.33994,-157.86781,170010
600275,21.34214,-157.8677,170011
600275,21.34357,-157.86762,170012
600275,21.34401,-157.8676,170013
600275,21.34428,-157.86759,170014
600275,21.34457,-157.86757,170015
600275,21.34491,-157.86752,170016
600275,21.34533,-157.86742,170017
600275,21.34552,-157.86736,170018
600275,21.34567,-157.8673,170019
600275,21.34591,-157.86718,170020
600275,21.34606,-157.8671,170021
600275,21.34631,-157.86693,170022
600275,21.34647,-157.8668,170023
600275,21.34663,-157.86665,170024
600275,21.34678,-157.8665,170025
600275,21.34696,-157.86629,170026
600275,21.34711,-157.8661,170027
600275,21.34733,-157.86577,170028
600275,21.3475,-157.8655,170029
600275,21.34769,-157.8652,170030
600275,21.3479,-157.86487,170031
600275,21.34862,-157.86375,170032
600275,21.34907,-157.86304,170033
600275,21.34926,-157.86278,170034
600275,21.34929,-157.86274,170035
600275,21.3493,-157.86272,170036
600275,21.34946,-157.86251,170037
600275,21.34963,-157.86231,170038
600275,21.34995,-157.86198,170039
600275,21.35037,-157.86158,170040
600275,21.35053,-157.86144,170041
600275,21.35067,-157.86135,170042
600275,21.35087,-157.8612,170043
600275,21.35099,-157.86113,170044
600275,21.35138,-157.86089,170045
600275,21.35166,-157.86074,170046
600275,21.35232,-157.86046,170047
600275,21.35298,-157.86019,170048
600275,21.35363,-157.85993,170049
600275,21.3543,-157.85965,170050
600275,21.35496,-157.85938,170051
600275,21.35533,-157.85921,170052
600275,21.35574,-157.859,170053
600275,21.35605,-157.85883,170054
600275,21.35634,-157.85865,170055
600275,21.35671,-157.85841,170056
600275,21.35717,-157.85808,170057
600275,21.35753,-157.85781,170058
600275,21.35814,-157.85734,170059
600275,21.35858,-157.85703,170060
600275,21.35912,-157.85664,170061
600275,21.35953,-157.85627,170062
600275,21.35976,-157.85603,170063
600275,21.36001,-157.85573,170064
600275,21.3603,-157.85537,170065
600275,21.36067,-157.85492,170066
600275,21.36095,-157.85457,170067
600275,21.36133,-157.8541,170068
600275,21.36175,-157.85354,170069
600275,21.36219,-157.85292,170070
600275,21.36263,-157.85221,170071
600275,21.36299,-157.8516,170072
600275,21.36325,-157.85113,170073
600275,21.3635,-157.85063,170074
600275,21.36375,-157.85012,170075
600275,21.36406,-157.84949,170076
600275,21.3649,-157.84774,170077
600275,21.36501,-157.84749,170078
600275,21.36511,-157.84725,170079
600275,21.36526,-157.84686,170080
600275,21.36541,-157.84644,170081
600275,21.36554,-157.84608,170082
600275,21.36568,-157.84564,170083
600275,21.36583,-157.84509,170084
600275,21.36654,-157.84252,170085
600275,21.36686,-157.84136,170086
600275,21.36712,-157.84045,170087
600275,21.36805,-157.83718,170088
600275,21.36868,-157.83497,170089
600275,21.36927,-157.83289,170090
600275,21.36972,-157.83126,170091
600275,21.36991,-157.83069,170092
600275,21.37011,-157.83019,170093
600275,21.37033,-157.82972,170094
600275,21.37051,-157.82938,170095
600275,21.37165,-157.8273,170096
600275,21.37257,-157.82565,170097
600275,21.37304,-157.8248,170098
600275,21.37334,-157.82427,170099
600275,21.37356,-157.82382,170100
600275,21.37372,-157.82346,170101
600275,21.37392,-157.82296,170102
600275,21.37399,-157.8228,170103
600275,21.37443,-157.82182,170104
600275,21.37461,-157.8214,170105
600275,21.37471,-157.82119,170106
600275,21.37489,-157.82079,170107
600275,21.37505,-157.82042,170108
600275,21.3752,-157.81998,170109
600275,21.37538,-157.81911,170110
600275,21.3754,-157.81905,170111
600275,21.3755,-157.81881,170112
600275,21.37554,-157.81874,170113
600275,21.37637,-157.81729,170114
600275,21.37764,-157.81497,170115
600275,21.37823,-157.8139,170116
600275,21.3785,-157.81336,170117
600275,21.37884,-157.81276,170118
600275,21.37908,-157.81232,170119
600275,21.37931,-157.81193,170120
600275,21.37944,-157.8117,170121
600275,21.3795,-157.81163,170122
600275,21.37956,-157.81159,170123
600275,21.37972,-157.81151,170124
600275,21.37986,-157.81147,170125
600275,21.38004,-157.81145,170126
600275,21.38019,-157.81146,170127
600275,21.38029,-157.81147,170128
600275,21.38041,-157.81149,170129
600275,21.38067,-157.81156,170130
600275,21.38085,-157.81163,170131
600275,21.38101,-157.81171,170132
600275,21.38115,-157.81182,170133
600275,21.38129,-157.81197,170134
600275,21.38143,-157.81215,170135
600275,21.38157,-157.81243,170136
600275,21.38198,-157.81326,170137
600275,21.38201,-157.81332,170138
600275,21.38218,-157.81362,170139
600275,21.3823,-157.81383,170140
600275,21.38242,-157.814,170141
600275,21.38256,-157.81415,170142
600275,21.38268,-157.81428,170143
600275,21.38286,-157.81444,170144
600275,21.38301,-157.81456,170145
600275,21.38319,-157.81467,170146
600275,21.38358,-157.81485,170147
600275,21.38382,-157.81494,170148
600275,21.38406,-157.815,170149
600275,21.38437,-157.81503,170150
600275,21.38473,-157.81503,170151
600275,21.38547,-157.81502,170152
600275,21.38581,-157.81503,170153
