route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
82,27692,5348900,LUALUALEI HOMESTEADS,0,309954,4020028,LUALUALEI HMSTDS,47359,4022,30065365,403-635
39,27692,5348903,KANEOHE - AHUIMANU,0,310378,650362,KANEOHE-AHUIMANU,47196,6509,30231852,65-599
77,27692,5348904,WAIPAHU - EWA BEACH,0,309782,W10161_merge,WAIPAHU-EWA BCH,40455,9E12,30064524,2-057
81,27692,5348906,WAIANAE VALLEY,0,309954,4010028,WAIANAE VALLEY,47339,4013,30065341,403-635
40,27692,5348907,CountryExpress! MAKAHA,0,309930,C0350,MAKAHA,46037,6605,30064844,40-504
39,27692,5348911,KANEOHE - AHUIMANU,0,310379,650362,KANEOHE-AHUIMANU,47199,6509,30231855,65-600
40,27692,5348913,CountryExpress! MAKAHA,0,310764,C0375,MAKAHA,48183,6605,30064885,C-658
82,27692,5348914,LUALUALEI HOMESTEADS,0,309954,4020028,LUALUALEI HMSTDS,47335,4022,30065357,403-635
39,27692,5348919,KANEOHE - AHUIMANU,0,310372,650362,KANEOHE-AHUIMANU,47164,6509,30231869,65-593
40,27692,5348921,CountryExpress! MAKAHA,0,310769,C0375,MAKAHA,48236,6605,30064892,C-663
82,27692,5348922,LUALUALEI HOMESTEADS,0,309954,4020028,LUALUALEI HMSTDS,47365,4022,30065367,403-635
74,27692,5348926,EXPRESS - Wahiawa - N. Shore - AMC,0,310169,88A0181,XPRS-N.SHORE-AMC,46949,88A5,30067586,54-564
40,27692,5348929,CountryExpress! MAKAHA,0,310146,C0375,MAKAHA,46915,6605,30064898,53-561
40,27692,5348931,CountryExpress! MAKAHA,0,310088,C0375,MAKAHA,46677,6605,30064866,51-540
83,27692,5348932,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47383,4034,30065388,403-636
40,27692,5348939,CountryExpress! MAKAHA,0,310761,C0350,MAKAHA,48158,6605,30064871,C-655
83,27692,5348940,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47362,4034,30065390,403-635
82,27692,5348944,LUALUALEI HOMESTEADS,0,309954,4020028,LUALUALEI HMSTDS,47323,4022,30065353,403-635
40,27692,5348947,CountryExpress! MAKAHA,0,310763,C0375,MAKAHA,48173,6605,30064877,C-657
83,27692,5348948,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47350,4034,30065391,403-635
81,27692,5348950,WAIANAE VALLEY,0,309954,4010028,WAIANAE VALLEY,47333,4013,30065339,403-635
40,27692,5348951,CountryExpress! MAKAHA,0,309929,C0375,MAKAHA,46034,6605,30064873,40-503
82,27692,5348952,LUALUALEI HOMESTEADS,0,309955,4020028,LUALUALEI HMSTDS,47380,4022,30065354,403-636
49,27692,5348953,EXPRESS - Waipahu,0,310527,810135,EXPRESS-WAIPAHU,41824,8102,30067395,81-169
40,27692,5348955,CountryExpress! MAKAHA,0,310768,C0375,MAKAHA,48223,6605,30064884,C-662
83,27692,5348956,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47326,4034,30065393,403-635
82,27692,5348958,LUALUALEI HOMESTEADS,0,309954,4020028,LUALUALEI HMSTDS,47341,4022,30065359,403-635
49,27692,5348961,EXPRESS - Waipahu,0,310528,810135,EXPRESS-WAIPAHU,41827,8102,30067396,81-170
40,27692,5348963,CountryExpress! MAKAHA,0,309940,C0375,MAKAHA,46140,6605,30064895,40-514
83,27692,5348964,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47368,4034,30065404,403-635
82,27692,5348966,LUALUALEI HOMESTEADS,0,309955,4020028,LUALUALEI HMSTDS,47410,4022,30065364,403-636
40,27692,5348967,CountryExpress! MAKAHA,0,310766,C0375,MAKAHA,48203,6605,30064886,C-660
51,27692,5348969,EXPRESS - Wahiawa - Waialua - Haleiwa,0,310559,830193,WAHIAWA-WAIALUA-HALEIWA,41857,8305,30067110,83-179
83,27692,5348972,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47401,4034,30065409,403-636
40,27692,5348975,CountryExpress! MAKAHA,0,310765,C0375,MAKAHA,48195,6605,30064890,C-659
83,27692,5348976,WAIANAE TRANSIT CENTER,0,309954,4030040,WAIANAE TRNS CTR,47332,4034,30065396,403-635
89,27692,5348981,WAIPAHU TRANSIT CENTER,0,310033,4330094,WAIPAHU TRNS CTR,47678,4333,30066250,433-643
40,27692,5348983,CountryExpress! MAKAHA,0,310764,C0375,MAKAHA,48185,6605,30064891,C-658
83,27692,5348984,WAIANAE TRANSIT CENTER,0,309955,4030040,WAIANAE TRNS CTR,47395,4034,30065397,403-636
57,27692,5348985,EXPRESS - Pearl City,0,310608,900084,XPRS-PEARL CITY,47249,9003,30064979,90-614
48,27692,5348991,EXPRESS - Downtown,0,310420,800085,EXPRESS-DOWNTOWN,41716,8001,30065039,67-151
