service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
27781,1,0,0,0,1,0,0,20260823,20261205,RGon,mf,60-03
27783,0,0,0,1,0,0,0,20260823,20261205,RGon,t,60-03
27784,0,1,0,0,0,0,0,20260823,20261205,RGon,u,60-03
27785,0,0,1,0,0,0,0,20260823,20261205,RGon,w,60-03
27793,1,1,0,1,1,0,0,20260823,20261205,RNon,mutf,W-01
27794,0,0,1,0,0,0,0,20260823,20261205,RNon,w,W-01
27796,1,0,1,0,1,0,0,20260823,20261205,ROon,mwf,51-01
27797,0,1,0,1,0,0,0,20260823,20261205,ROon,ut,51-01
27800,1,0,1,0,1,0,0,20260823,20261205,RQon,mwf,40-02
27801,1,0,1,0,1,0,0,20260823,20261205,RQon,mwf,53-06
27802,0,1,0,1,0,0,0,20260823,20261205,RQon,ut,40-02
27803,0,1,0,1,0,0,0,20260823,20261205,RQon,ut,53-06
27805,1,0,0,0,1,0,0,20260823,20261205,RRon,mf,123-02
27806,0,1,1,1,0,0,0,20260823,20261205,RRon,uwt,123-02
27812,1,1,0,1,1,0,0,20260823,20261205,RUon,mutf,65-01
27813,1,1,0,1,1,0,0,20260823,20261205,RUon,mutf,52-01
27817,0,0,1,0,0,0,0,20260823,20261205,RUon,w,65-01
27818,0,0,1,0,0,0,0,20260823,20261205,RUon,w,52-01
